,Simbol,% 1h,% 2h,% 7d
331,XGOX,2.49%,3.71%,-25.25%
332,GRE,-0.42%,203.76%,267.80%
333,ZEIT,-0.52%,29.63%,53.70%
334,BLU,-0.28%,1.01%,42.29%
335,THC,-0.92%,0.27%,5.26%
336,UNY,13.05%,22.50%,9.72%
337,SBD,-0.83%,-1.80%,-5.46%
338,SNC,0.68%,14.17%,-22.02%
339,XBC,-2.13%,-2.69%,-16.84%
340,SPR,14.54%,45.18%,6.45%
341,ZCL,0.26%,3.46%,-4.47%
342,VIVO,-1.61%,0.09%,-19.74%
343,SXC,1.25%,1.46%,6.54%
344,GEO,0.11%,-5.55%,-0.56%
345,EGC,-0.01%,-0.51%,7.65%
346,ESP,-1.46%,95.31%,26.48%
347,TRCT,0.36%,-9.27%,-25.88%
348,MEME,-0.38%,3.64%,8.65%
349,HBT,-24.52%,10.76%,-32.74%
350,MER,0.60%,-1.30%,-5.63%
351,HGT,0.10%,-17.37%,-14.63%
352,OPT,-11.45%,-9.00%,13.16%
353,BRX,-0.94%,-0.12%,-5.58%
354,XPM,-1.79%,9.21%,1.30%
355,BTM,-1.98%,5.46%,4.71%
356,HNC,3.89%,16.20%,4.76%
357,TRC,-0.26%,-11.99%,-33.45%
358,PBT,0.59%,24.20%,-2.06%
359,RAIN,-1.55%,-13.97%,-11.77%
360,2GIVE,-2.93%,5.15%,7.27%
361,NDC,-0.70%,24.54%,14.86%
362,RKC,-4.82%,0.12%,114.62%
363,BRK,-2.04%,2.10%,1.56%
364,RIC,0.67%,16.26%,47.93%
365,PING,16.05%,12.29%,30.77%
366,STA,1.41%,19.59%,-2.28%
367,FLIK,-1.93%,-19.11%,-33.08%
368,ADC,3.89%,15.99%,59.60%
369,VISIO,-0.28%,-15.18%,4.02%
370,ONION,-3.47%,-18.00%,-13.01%
371,RMC,-0.28%,-7.80%,-16.97%
372,ATCC,-0.28%,-10.79%,-60.85%
373,IND,0.43%,5.33%,-6.62%
374,NYC,-8.92%,73.42%,-23.25%
375,PKB,0.01%,0.10%,-3.63%
376,MBRS,-0.02%,5.49%,3.24%
377,CREA,2.22%,-6.54%,0.75%
378,ZOI,0.70%,2.13%,34.34%
379,ONX,0.68%,15.62%,7.03%
380,CHC,1.56%,-2.59%,-6.08%
381,POLL,-0.82%,1.19%,-29.74%
382,ADL,1.97%,-4.52%,9.02%
383,VTR,3.35%,17.68%,9.31%
384,CRAVE,2.06%,-17.12%,-22.00%
385,IXC,-5.16%,-1.24%,58.26%
386,BIS,0.05%,7.04%,14.42%
387,CANN,1.07%,12.58%,3.06%
388,HSR,-0.61%,-1.96%,1.02%
389,DOPE,-1.31%,-1.98%,-19.95%
390,ATMS,-1.38%,-30.89%,-21.04%
391,MINT,-0.29%,-36.35%,-30.10%
392,DOT,0.84%,5.53%,22.13%
393,LGD,0.55%,-1.53%,2.14%
394,MAO,-0.28%,4.88%,38.49%
395,XMG,0.76%,6.12%,15.94%
396,START,1.46%,-2.23%,-5.61%
397,JNS,-0.10%,-2.61%,-25.81%
398,EFL,1.39%,-4.75%,0.95%
399,PND,-0.60%,209.91%,251.53%
400,ZENI,-0.28%,23.70%,-19.44%
401,KRB,-1.83%,-8.20%,68.64%
402,ARC,0.99%,3.73%,70.45%
403,QRK,-0.42%,-3.23%,14.38%
404,CCRB,-0.63%,4.30%,68.72%
405,CHIPS,-0.13%,0.34%,29.24%
406,XIOS,14.73%,66.49%,-57.83%
407,GIM,1.00%,8.65%,?
408,NAUT,0.86%,-7.35%,-6.20%
409,OCL,7.18%,16.09%,-1.24%
410,CV2,-0.28%,1.52%,19.19%
411,TKS,-1.43%,4.98%,-8.07%
412,HUC,-1.49%,-4.74%,9.70%
413,ADST,-1.04%,7.24%,-5.79%
414,DAR,1.89%,9.89%,0.37%
415,KLN,0.83%,3.08%,36.92%
416,ZNY,-1.42%,5.28%,233.96%
